,sentence1,sentence2,score
1504,پیل بچه میخوری ای پاره خوار!  هم برآرد خصم پیل از تو دمار,آن چراغ او به پيش صرصرم‏  خود چه باشد اى مهين پيغمبرم‏,3
1505,نشانۀ دوستی,ما نقص مال من الصدقات قط  انما الخيرات نعم المرتبط,2.5
1506,تقلید,ناصحى ربانيى پندت دهد  آن سخن را او به فن طرحى نهد,3.5
1507,عالم توحید,آن چراغ او به پيش صرصرم‏  خود چه باشد اى مهين پيغمبرم‏,2
1508,ویرانی  آبادانی,اين زمين را از براى خاكيان‏  آسمان را مسكن افلاكيان‏,1
1509,پس عمر گفتش که: این رازی تو  هست هم آثار هشیاری تو,هوشيارى ز آن جهان است و چو آن‏  غالب آيد پست گردد اين جهان‏,3.5
1510,ضرورت پیروی از پیر و اولیا,سخره‏ى حس‏اند اهل اعتزال‏  خويش را سنى نمايند از ضلال‏,0
1511,عقل ,تا رهد زین عقل پر حرص و طلب   صدهزاران عقل بیند وین عجب,5
1512,وهم و فهم ,مشورت ادراك و هشيارى دهد  عقلها مر عقل را يارى دهد,4
1513,گفت ابليس لعين دادار را  دام زفتى خواهم اين اشكار را,بى‏گنه لعنت كنى ابليس را  چون نبينى از خود آن تلبيس را,4
1514,رزق,عقل نورانی و نیکو طالب است  نفس ظلمانی بر او چون غالب است؟,4
1515,ادب,از ادب نبود به پيش شه مقال‏  خاصه خود لاف دروغين و محال‏,4.5
1516,گفته روبه جستن رزق حلال‏  فرض باشد از براى امتثال‏,كه اصول دخلم اينها بوده‏اند  هم ز اينها مى‏گشايد رزق بند,3.5
1517,عالم توحید,عالم خلق است با سوى و جهات‏  بى‏جهت دان عالم امر و صفات‏,4.5
1518,رزق و روزی,"دام و دد جمله همه اكال رزق‏		نه پى كسب‏اند نه حمال رزق‏
",2.5
1519,هوش کلی و جزوی,هش چه باشد عقل كل هوشمند  هوش جزوى هش بود اما نژند,4
1520,جهد و کوشش,"كسب جز نامى مدان اى نامدار		جهد جز وهمى مپندار اى عيار
",1
1521,کو نداند، نقص بر آلت نهد  سنگ بر گل زن تو، آتش کی جهد؟,تا كه اصل و فصل او را بر دهند  در بيان فضل او منبر نهند,2
1522,سرپوشی  رازداری,آن كه گويد راز قالَتْ نَمْلَةٌ  هم بداند راز اين طاق كهن‏,3
1523,جسم و جان  صورت و معنی,صورت ظاهر فنا گردد بدان‏  عالم معنى بماند جاودان‏,4
1524,ولی,از خرى باشد تغافل خفته‏وار  كه نجويى تا كى است آن خفيه كار,2
1525,ادب,پای در دریا منه کم گوی از آن  بر لب دریا خمش کن لب گزان,5
1526,جهد و کوشش,"هر يكى خواهان دگر را همچو خويش‏		از پى تكميل فعل و كار خويش‏
",2.5
1527,حکم و قدر,چون رهید آن کشتی و آخمد به کام  شد نماز آن جماعت هم تمام,4
1528,مستی,مست و بى‏خود اين چنين بر مى‏شمرد  تا كه مستى عقل و هوشش را ببرد,5
1529,لذت,"اى مسلمان خود ادب اندر طلب‏		نيست الا حمل از هر بى‏ادب‏
",0.5
1530,قهر و لطف,"اينش گويد نيست چون تو در وجود		در جمال و فضل و در احسان و جود
",0.5
1531,سجده (سجود),عالم اول جهان امتحان‏  عالم ثانى جزاى اين و آن‏,1
1532,کریم بودن خداوند,"مغفرت مى‏خواهد از جرم و خطا		از پس آن پرده از لطف خدا
",3.5
1533,استدراج,منبع حكمت شود حكمت طلب‏  فارغ آيد او ز تحصيل و سبب‏,3.5
1534,تا امیری را دهد جانی دگر  تا دهد نخل خلافت را ثمر,مرگ يك قتل است و اين سيصد هزار  هر يكى را خونبهايى بى‏شمار,4
1535,غیرت,رنگ صدق و رنگ تقوى و يقين‏  تا ابد باقى بود بر عابدين‏,4
1536,ما چو کشتی ها به هم بر میزنیم  تیره چشمیم و در اب روشنیم,پيل هست اين سو كه اكنون مى‏رويد  پيل زاده مشكنيد و بشنويد,4
1537,غذا و طعام,ان فى الجوع طعاما وافرا  افتقدها و ارتج يا نافرا,3.5
1538,ادب,جزو جزوت لشكر او در وفاق‏  مر ترا اكنون مطيعند از نفاق‏,3.5
1539,تزکیۀ نفس، نتیجه,نقض ميثاق و شكست توبه‏ها  موجب لعنت شود در انتها,0
1540,عقل ,عقل با عقل دگر دو تا شود  نور افزون گشت و ره پيدا شود,4.5
1541,جهد و کوشش,جهد کن تا مست و نورانی شوی  تا حدیثت را شود نورش روی,5
1542,خیال و وهم و گمان ,از خيال و وهم و ظن بازش رهان‏  از چه و جور رسن بازش رهان‏,4
1543,اینت درد بی دوا کورا ست، آه   اینت افتده ابد در قعر چاه,وَ ما رَمَيْتَ إِذْ رَمَيْتَ وَ لكِنَّ اللَّهَ رَمى‏,0
1544,مکر الهی,آن چراغ او به پيش صرصرم‏  خود چه باشد اى مهين پيغمبرم‏,3
1545,کریم بودن خداوند,"ليك من آن ننگرم رحمت كنم‏		رحمتم پر ست بر رحمت تنم‏
",4
1546,معجزه,باز گو اى باز عرش خوش شكار  تا چه ديدى اين زمان از كردگار,2.5
1547,فنا و بقا,از جهان مرگ سوى برگ رو  چون بقا ممكن بود فانى مشو,5
1548,معرفت ذات  معرفت صفات,زهد اندر كاشتن كوشيدن است‏  معرفت آن كشت را روييدن است‏,4.5
1549,معجزه همچون گواه آمد زكى‏  بهر صدق مدعى در بى‏شكى‏,قصد در معراج ديد دوست بود  در تبع عرش و ملايك هم نمود,3
1550,پیوند عشق مجازی با عشق حقیقی,عشق و ناموس اى برادر راست نيست‏  بر در ناموس اى عاشق مه‏ايست‏,3.5
1551,راز هستی,از برای لطف عالم را بساخت  ذره‌ها را آفتاب او نواخت,5
1552,گفت پیغمبر ز سرمای بهار  تن مپوشانید یاران زینهار,طَهِّرا بَيْتِيَ‏ بيان پاكى است‏  گنج نور است ار طلسمش خاكى است‏,3
1553,مستی,پوست دنبه یافت شخصی مستهان  هر صباحی چرب کردی سبلتان,4
1554,ابلیس,بى‏گنه لعنت كنى ابليس را  چون نبينى از خود آن تلبيس را,4
1555,خداشناسی ,"چشم حس را هست مذهب اعتزال‏		ديده‏ى عقل است سنى در وصال‏
",1.5
1556,عالم توحید,گند كفر تو جهان را گنده كرد  كفر تو ديباى دين را ژنده كرد,2
1557,خواب,چون كه خواب غفلت آيدشان به سر  راست بينند و چه سود است آن نظر,4.5
1558,معجره,حامل دين بود او محمول شد  قابل فرمان بد او مقبول شد,3
1559,خداشناسی ,از خیالی دوست گیری خلق را  چون نگیری شاه غرب و شرق را,5
1560,عالم توحید,روح را توحيد اللَّه خوشتر است‏  غير ظاهر دست و پاى ديگر است‏,3.5
1561,مکر الهی,خصم ظلم و مكر تو اللَّه باد  فضل و عقل تو ز ما كوتاه باد,3.5
1562,گرچه فردست او اثر دارد هزار  آن یکی را نام شاید بی‌شمار,"چون شدى من كان لله از وله‏		من ترا باشم كه كان اللَّه له‏
",3
1563,در صفات حق صفات جمله‏شان‏  همچو اختر پيش آن خور بى‏نشان‏,زهد اندر كاشتن كوشيدن است‏  معرفت آن كشت را روييدن است‏,4.5
1564,تجلی خداوند,چون مراد و حکم یزدان غفور  بود در قدمت تجلی و ظهور,5
1565,تزکیۀ نفس، نتیجه,راه كن در اندرونها خويش را  دور كن ادراك غير انديش را,3
1566, گفت آری گر توکل رهبرست   این سبب هم سنت پیغمبرست,بر توكل تا چه آيد در نبرد  چون توكل كردن اصحاب نرد,5
1567,استدراج,قاضيان را در حكومت اين فن است‏  شاهد ايشان را دو چشم روشن است‏,4
1568,ولی,گفتک شاهنشاه کردم اختیار  از برای جستن یک شاخسار,5
1569,عدم,"نيست نقدى كش غلط انداز نيست‏		واى آن جان كش محك و گاز نيست‏
",0
1570,خواب,خواب بردش، مرغ جانش از حبس رست  چنگ و چنگی را رها کرد و بجست,5
1571,بی غرض نبود به گردش در جهان  غیر جسم و غیر جان عاشقان,نه از براى منتى بل مى‏نمود  بر درستى محبت صد شهود,3.5
1572,ظلم,ترك كن اين جبر را كه بس تهى است‏  تا بدانى سرّ سرّ جبر چيست‏,2
1573,عاقبت بینی,حكم حق بر لوح مى‏آيد پديد  آن چنان كه حكم غيب بايزيد,2
1574,هر كه ترسيد از حق و تقوى گزيد  ترسد از وى جن و انس و هر كه ديد,ور تو دست اندر مناصب مى‏زنى‏  هم ز ترس است آن كه جانى مى‏كنى‏,3
1575,مکر الهی,كاو اسير اللَّه فى الارض آمده ست‏  سخره‏ى خشم عدو اللَّه شده ست‏,3.5
1576,قطره‌ای از دجلهٔ خوبی اوست  کان نمی‌گنجد ز پری زیر پوست,"( (گر خدا خواهد))* نگفتند از بطر		پس خدا بنمودشان عجز بشر
",2
1577,سبب و اسباب ,بى‏سبب گر عز به ما موصول نيست  قدرت از عزل سبب معزول نيست,5
1578,آن غبین و درد بودی صد نماز  کو نماز و کو فروغ آن نیاز,"استخوان حرص تو در وقت درد		درهم آيد خرد گردد در نورد
",3.5
1579,توکل,بر توكل تا چه آيد در نبرد  چون توكل كردن اصحاب نرد,5
1580,گل مخور، گل را مخر، گل را مجو  زآن که گل خوار است دایم زردرو,آن دعاى بى‏خود آن خود ديگر است‏  آن دعا ز او نيست گفت داور است‏,4
1581,در صفات حق صفات جمله‏شان‏  همچو اختر پيش آن خور بى‏نشان‏,چون بدانستى سبب را سهل شد  دانش اسباب دفع جهل شد,3.5
1582,معرفت,چون بدانستى سبب را سهل شد  دانش اسباب دفع جهل شد,4
1583,توکل,باز شد قفل و در و شد ره پدید  چون توکل کرد یوسف، برجهید,5
1584,ابلیس,اول ابليسى مرا استاد بود  بعد از آن ابليس پيشم باد بود,3.5
1585,دیوانگی,جهد كن تا اين خيال افزون شود  تا دلاله رهبر مجنون شود,3.5
1586,ضرورت پیروی از پیر و اولیا,چون بدادى دست خود در دست پير  پير حكمت كه عليم است و خطير,5
1587,سجود (سجده),كان گروهى كه رهيدند از وجود  چرخ و مهر و ماهشان آرد سجود,4
1588,رضا,عشقها داريم با اين خاك ما  ز انكه افتاده‏ست در قعده‏ى رضا,4
1589,در عمارتها سگانند و عقور  در خرابيهاست گنج عز و نور,رونق كار خسان كاسد شود  همچو ميوه‏ى تازه زو فاسد شود,2
1590,سجده (سجود),همچنان دور دوم هابيل شد  ضد نور پاك او قابيل شد,2
1591,باز فرمان آيدش بردار سر  از سجود و واده از كرده خبر,ما در اين دهليز قاضى قضا  بهر دعوى الستيم و بلى‏,2
1592,گفت: اگرچه پاکم از ذکر شما  نیست لایق مرمرا تصویرها,اى صفاتت آفتاب معرفت‏  و آفتاب چرخ بند يك صفت‏,4
1593,ظلم,ظلم چه بود وضع غير موضعش‏  هين مكن در غير موضع ضايعش‏,4
1594,كار پنهان كن تو از چشمان خود  تا بود كارت سليم از چشم بد,تو قبا مى‏خواستى خصم از نبرد  رغم تو كرباس را شلوار كرد,1
1595,حكمت حق در قضا و در قدر  كرد ما را عاشقان همدگر,گر پذيرند آن نفاقش را رهيد  شد نفاقش عين صدق مستفيد,3
1596,پیش از این، زآن گفته بودیم اندکی  خود چه گوییم از هزارانش یکی؟,گر چه گردد در قيامت آن فزون‏  از خدا اينجا بخواهيد آزمون‏,4
1597,سخن ناقص  سخن شر,در همه ز آيينه‏ى كژ ساز خود  منگر اى مردود نفرين ابد,2.5
1598,شش جهت عالم همه اکرام اوست  هر طرف که بنگری اعلام اوست," 
",0
1599,کل شیء قاله غیرالمفیق  ان تکلف او تصلف لا یلی,"چون سببها رفت بر سر مى‏زنى‏		ربنا و ربناها مى‏كنى‏
",1.5
1600,هوشیاری,وَ لَكُمْ فِي الْقِصاصِ حَياةٌ,0
1601,عشق,آتشی از عشق در جان برفروز    سر به سر فکر و عبارت را بسوز,5
1602,معرفت,ديد بر دانش بود غالب فرا  ز آن همى دنيا بچربد عامه را,4
1603,تا که خوفت زاید از ذات الشمال  لذت ذات الیمین یرجی الرجال,هست يك نامش ولى الدولتين‏  هست يك نعتش امام القبلتين‏,3
1604,خوف و رجا,اين همه ترسنده‏اند از نيك و بد  هيچ ترسنده نترسد خود ز خود,4.5
1605,امتحان,گر به پيشت امتحان است اين هوس‏  امتحان را امتحان كن يك نفس‏,4
1606,توکل,اندر افتم از كمال اعتماد  از عباد اللَّه دارم بس اميد,4.5
1607,منبسط بودیم یک جوهر همه  بی‌سر و بی پا بدیم آن سر همه,"7
",0
1608,ابلیس,همچو آن ابليس و ذريات او  با خدا در جنگ و اندر گفت‏وگو,4.5
1609,ضد,الى آخره‏,0
1610,سماع,مى چه باشد يا سماع و يا جماع‏  تا بجويى زو نشاط و انتفاع‏,4
1611,فنا و عشق,يا محبت در درون شعله زند  زفت گردد وز اثر فارغ كند,4
1612,چون دريدى پرده كو خوف و رجا  غيب را شد كر و فرى بر ملا,كيقبادى رسته از خوف و رجا  چند گردى چند جويى تا كجا,3.5
1613,پیوند عشق مجازی با عشق حقیقی,عاشق حالى نه عاشق بر منى‏  بر اميد حال بر من مى‏تنى‏,4
1614,سبب و اسباب ,"چون سبب نبود چه ره جويد مريد		پس سبب در راه مى‏بايد پديد
",2
1615,هوش جزوی و کلی,هست عقلى همچو قرص آفتاب‏  هست عقلى كمتر از زهره و شهاب‏,4.5
1616,رضا,كو نشان عشق و ايثار و رضا  گر درست است آن چه گفتى ما مضى‏,3.5
1617,رحمت مخلوق باشد غصه‏ناك‏  رحمت حق از غم و غصه‏ست پاك‏,حق نمودش آن چه بنمودش تمام‏  گشت واقف بر سزاى انتقام‏,4
1618,قهر و لطف,"ليك لطفى قهر در پنهان شده‏		يا كه قهرى در دل لطف آمده‏
",3
1619,طلب,اين دعا مى‏خواهد او از عام و خاص‏  كالخلاص و الخلاص و الخلاص‏,2
1620,مرگ,مات او و مات او و مات او  كه همى‏دانيم تزويرات او,2
1621,جهد و کوشش,"و آن عنايت هست موقوف ممات‏		تجربه كردند اين ره را ثقات‏
",1.5
1622,دعا,گويدش يزدان دعا شد مستجاب‏  وا مرو و الله اعلم بالصواب‏,5
1623,تقلید,اصل غيرتها بدانيد از اله‏  آن خلقان فرع حق بى‏اشتباه‏,3
1624,پیوند عشق و بقا ,"اى رهيده جان تو از ما و من‏		اى لطيفه‏ى روح اندر مرد و زن‏
",0.5
1625,غذا و طعام,امت احمد كه هستند از كرام‏  تا قيامت هست باقى آن طعام‏,3
1626,رضا,گفت رو من يافتم دار السرور  وارهيدم از چه دار الغرور,4
1627,خوف و رجا,اين رجا و خوف در پرده بود  تا پس اين پرده پرورده شود,5
1628,پس نهانيها به ضد پيدا شود  چون كه حق را نيست ضد پنهان بود,پس به ضد نور دانستى تو نور  ضد ضد را مى‏نمايد در صدور,4
1629,تا رهد زین عقل پر حرص و طلب   صدهزاران عقل بیند وین عجب,عقل جزوى عقل استخراج نيست‏  جز پذيراى فن و محتاج نيست‏,5
1630,عقل ,عقل از جان گشت با ادراك و فر  روح او را كى شود زير نظر,5
1631,فنا و عشق,آفتى نبود بتر از ناشناخت‏  تو بر يار و ندانى عشق باخت‏,3.5
1632,عشق و عقل,عقل گردى عقل را دانى كمال‏  عشق گردى عشق را دانى ذبال‏,3.5
1633,اندرین آتش بدیدم عالمی  ذره ذره اندرو عیسی‌دمی,"مادرانشان خشمگين گشتند و گفت‏		روز كتاب و شما با لهو جفت‏
",1
1634,تزکیۀ نفس، کشتن نفس,هر كه را مردم سجودى مى‏كنند  زهر اندر جان او مى‏آگنند,1
1635,اخلاص,صابرين و صادقين و منفقين‏  چون بدى بى‏رهزن و ديو لعين‏,4
1636,عشق ز اوصاف خدای بی نیاز   عاشقی بر غیر او باشد مجاز,عاشق كل است و خود كل است او  عاشق خويش است و عشق خويش جو,5
1637,طبل باز من ندای ارجعی  حق گواه من به رغم مدعی,ليك مى‏خواهى كه در افعال ما  باز جويى حكمت و سر بقا,4
1638,جهد و کوشش,"از جهود و از جهودى رسته‏ام‏		تا به زنارى ميان را بسته‏ام‏
",0
1639,معرفت,اى صفاتت آفتاب معرفت‏  و آفتاب چرخ بند يك صفت‏,4
1640,تزکیۀ نفس، نتیجه,اول و آخر هبوط من ز زن‏  چون كه بودم روح و چون گشتم بدن‏,2
1641,جهد و کوشش,چون نکرد آن کار مزدش هست لا  لیس للانسان الا ما سعی,5
1642,من ز سگ کم نیستم در بندگی  کم ز ترکی نیست حق در زندگی,چون شدى من كان لله از وله‏  من ترا باشم كه كان اللَّه له‏,3
1643,سخن ناقص  سخن شر,فقر خواهى آن به صحبت قايم است‏  نه زبانت كار مى‏آيد نه دست‏,2
1644,امتحان زین بیشتر خود چون بود  رزق سوی صابران خوش می‌رود,"بعد ازينتان برگ و رزق جاودان‏		از هواى حق بود نه از ناودان‏
",3.5
1645,ر بداند قیمت آن جوی خر  او به جای پا نهد در جوی سر,عقل از جان گشت با ادراك و فر  روح او را كى شود زير نظر,2.5
1646,لذت,"حال و قالى از وراى حال و قال‏		غرقه گشته در جمال ذو الجلال‏
",1.5
1647,غیرت,بر هر آن چيزى كه افتد آن شعاع‏  تو بر آن هم عاشق آيى اى شجاع‏,3.5
1648,خواب,همچو آن وقتى كه خواب اندر روى‏  تو ز پيش خود به پيش خود شوى‏,4
1649,مفهوم درد,"پوستين آن حالت درد تو است‏		كه گرفته ست آن اياز آن را به دست‏
",1
1650,تزکیۀ نفس، نتیجه,كافرم من گر زيان كرده ست كس‏  در ره ايمان و طاعت يك نفس‏,1.5
1651,معجزه,مركب توبه عجايب مركب است‏  بر فلك تازد به يك لحظه ز پست‏,3.5
1652,امتحان,آن تو با تست و تو واقف بر اين‏  آسمانا چند پيمايى زمين‏,2.5
1653,وهم و خیال,عالم وهم و خيال چشم بند  آن چنان كه را ز جاى خويش كند,4
1654,مکر الهی,باز ار جاى خداوند كريم‏  در دلش بشار گشتى و زعيم‏,3.5
1655,مستی,بلعم باعور و ابلیس لعین  ز امتحان آخرین گشته مهین,4
1656,جهد و کوشش,جهد کن تا این طلب افزون شود  تا دلت زین چاه تن بیرون شود,5
1657,ادب,الى آخره‏,0
1658,ما رمیت اذ رمیت احمد بدست  دیدن او دیدن خالق شدست,"در من آمد آن كه دست و پا برد		رنگ رو و قوت و سيما برد
",2.5
1659,خداشناسی ,"مادر بتها بت نفس شماست‏		ز آن كه آن بت مار و اين بت اژدهاست‏
",0
1660,تزکیۀ نفس، کشتن نفس,گفت: اگرچه پاکم از ذکر شما  نیست لایق مرمرا تصویرها,4
1661,امتحان الهی,آن كه زرق او خوش آيد مر ترا  آن ولى تست نه خاص خدا,3.5
1662,نشانۀ دوستی,لذت دست شکربخشت بداشت اندر این بطیخ تلخی کی گذاشت؟,5
1663,عشق مجازی و حقیقی,عشق و ناموس اى برادر راست نيست‏  بر در ناموس اى عاشق مه‏ايست‏,3
1664,فنا و عشق,ای رهیده جان تو از ما و من  ای لطیفه روح اندر مرد و زن,5
1665,شراب عشق جوشانتر شرابی است  که آن یک دم بود این جاودانی,"دين من از عشق زنده بودن است‏		زندگى زين جان و سر ننگ من است‏
",4
1666,معرفت ذات  معرفت صفات,دانش من جوهر آمد نه عرض‏  اين بهايى نيست بهر هر غرض‏,3
1667,تقلید,مثل نبود ليك باشد آن مثيل‏  تا كند عقل محمد را گسيل‏,3.5
1668,مشورت  مصاحبت و همنشینی,ره گذريانش ملامت‏گر شدند  بس بگفتندش بكن اين را نكند,3.5
1669,فراست,تا شود زفت و نمايد آن عظيم‏  چون در آيد سوى محفل در حطيم‏,4
1670,مرگ,ظاهرش مرگ و به باطن زندگى‏  ظاهرش ابتر نهان پايندگى‏,4
1671,رزق و روزی,"شرع بهر زندگان و اغنياست‏		شرع بر اصحاب گورستان كجاست‏
",0
1672,ولی,خواستم این قحبه را بی معرفت  تا ببینم چون شود این عاقبت,4
1673,مستی,هين به هر مستى دلا غره مشو  هست عيسى مست حق خر مست جو,4.5
1674,مستی,بلك از آن مستان كه چون مى مى‏خورند  عقلهاى پخته حسرت مى‏برند,4
1675,خار، جمله لطف چون گل میشود  پیش جزوی کو سوی کل میرود,تا نگردد رازهاى غيب فاش‏  تا نگردد منهدم عيش و معاش‏,3.5
1676,سبب و اسباب ,گردش چرخه رسن را علتست  چرخه گردان را ندیدن زَلّتست,5
1677,عشق مجازی و حقیقی,نه از براى منتى بل مى‏نمود  بر درستى محبت صد شهود,3.5
1678,امتحان الهی,امتحان بر امتحان است اى پدر  هين به كمتر امتحان خود را مخر,4
1679,تزکیۀ نفس,نفس با نفس دگر خندان شود  ظلمت افزون گشت و ره پنهان شود,2
1680,ظلم,غير حق را گر نباشد اختيار  خشم چون مى‏آيدت بر جرم دار,2
1681,راز هستی,هیچ نقاشی نگارد زین نقش  بی امید نفع بهر عین نقش,5
1682,عنایات حق,رحمت مخلوق باشد غصه‏ناك‏  رحمت حق از غم و غصه‏ست پاك‏,4.5
1683,جهد و کوشش,قدر همت باشد آن جهد و دعا  لیس للانسان الا ما سعی,5
1684,سجود (سجده),بيشتر احوال بر سنت رود  گاه قدرت خارق سنت شود,1
1685,ضرورت پیروی از پیر و انبیاء,آن تاسف و آن فغان و آن نياز  در گذشتى از دو صد ذكر و نماز,2.5
1686,اخلاص,صدق تو آورد در جستن ترا  جستنم آورد در صدقى مرا,3.5
1687,ویرانی  آبادانی,پاره كرده‏ى وسوسه باشى دلا  گر طرب را باز دانى از بلا,3.5
1688,سرپوشی  رازداری,از كه پنهان مى‏كنى اى رشك خو  آن كه پوشيده‏ست نورش روى او,2.5
1689,اضداد در جهان,"از قديم و حادث و عين و عرض‏		پيچشى چون ويس و رامين مفترض‏
",1
1690,عقل ,هش چه باشد عقل کل هوشمند   هوش جزوی هش بود اما نژند,5
1691,توکل,ليك مومن ز اعتماد آن حيات‏  مى‏كند غارت به مهل و با انات‏,4
1692,طلب,چون ترا ذكر و دعا دستور شد  ز آن دعاكردن دلت مغرور شد,3
1693,دعا,گر نداری تو دم خوش در دعا  رو دعا می خواه ز اخوان صفا,5
1694,اخلاص,با لئيمى چون كنى قهر و جفا  بنده‏اى گردد ترا بس با وفا,2
1695,او اگر ديوانه است و فتنه كاو  داروى ديوانه باشد كير گاو,جهد كن تا اين خيال افزون شود  تا دلاله رهبر مجنون شود,3.5
1696,راز هستی,"راز جز با راز دان انباز نيست‏		راز اندر گوش منكر راز نيست‏
",1.5
1697,توکل,آن كه ايمان يافت رفت اندر امان‏  كفرهاى باقيان شد دو گمان‏,3.5
1698,فراست,داد ما را فضل حق فرعونيى‏  نه چو فرعونيت و ملكت فانيى‏,3
1699,عنایات حق,تافت ز آن روزن كه از دل تا دل است‏  روشنى كه فرق حق و باطل است‏,3
1700,نتیجۀ صبر,ور بپرسى ديرتر حاصل شود  سهل از بى‏صبرى‏ات مشكل شود,4.5
1701,مفهوم درد,"آن زمان كه دست و پايت بر درد		پر و بالت هست تا جان بر پرد
",0
1702,قهر و لطف,قهر و لطفى چون صبا و چون وبا  آن يكى آهن ربا وين كهربا,5
1703,طلب,ما نبوديم و تقاضامان نبود  لطف تو ناگفته‏ى ما مى‏شنود,2.5
1704,و آن غریمان هم به انکار و جحود  رو به شیخ آورده کین باری چه بود؟,هم تو گفتستى و گفت تو گوا  پير بايد پير بايد پيشوا,4
1705,لذت,"بى‏مرادى شد قلاووز بهشت‏		حفت الجنة شنو اى خوش سرشت‏
",1
1706,حکایت اختلاف کردن در چگونگی و شکل پیل,فرق بين و بر گزين تو اى حبيس‏  بندگى آدم از كبر بليس‏,3.5
1707,تقلید,صد هزاران ز اهل تقليد و نشان‏  افكندشان نيم وهمى در گمان‏,4
1708,رضا,شكر كى رويد ز املاك و نعم‏  شكر مى‏رويد ز بلوى و سقم‏,3.5
1709,ضد,مى‏گريزد ضدها از ضدها  شب گريزد چون بر افروزد ضيا,4.5
1710,نبوت، رسالت,"تو خلافش كن كه از پيغمبران‏		اين چنين آمد وصيت در جهان‏
",3.5
1711,دیوانگی,در سگ اصحاب خوبی زآن وفود  رفت تا جویای الله گشته بود,4
1712,عالم توحید,اين مزاجت از جهان منبسط  وصف وحدت را كنون شد ملتقط,3
1713,می رسید از دور مانند هلال  نیست بود و هست بر شکل خیال,وز نياز عاجزانه‏ى خويشتن‏  وز خيال و وهم من يا صد چو من‏,4
1714,عالم توحید,اهل الهام خدا عين الحيات‏  اهل تسويل هوا سم الممات‏,2
1715,قهر و لطف,آتشى را شكل آبى داده‏اند  و اندر آتش چشمه‏اى بگشاده‏اند,4
1716,فراست,رنگ و بو غماز آمد چون جرس‏  از فرس آگه كند بانگ فرس‏,2.5
1717,ضد,ضد را با ضد ايناس از كجا  با امام الناس نسناس از كجا,4.5
1718,جوشش خون,گر بگويم وين بيان افزون شود  خود جگر چه بود كه كه‏ها خون شود,3
1719,رشته یکتا شد غلط کم شو کنون  گر دو تا بینی حروف کاف و نون,هر كه را در جان خدا بنهد محك‏  هر يقين را باز داند او ز شك‏,2
1720,هستی و خداوند,چون خدا ما را براى آن فراخت‏  كه به ما بتوان حقيقت را شناخت‏,4
1721,جز توکل جز که تسلیم تمام   در غم  راحت همه مکر است و دام,چون كه در عهد خدا كردى وفا  از كرم عهدت نگه دارد خدا,4
1722,معجره,فاش تسبیح جمادات آیدت  وسوسۀ تآویلها تربایدت,5
1723,دعا,بو که استادی رهاند مر تو را  وز خطر بیرون کشاند مر تو را,3
1724,کریم بودن خداوند,"پس بدان كآب مبارك ز آسمان‏		وحى دلها باشد و صدق بيان‏
",0.5
1725,عاقبت بینی,همچنان که سهل شد ما را حضر  سهل شد هم قوم دیگر را سفر,4
1726,قضا و قدر,تا كه عدل ما قدم بيرون نهد  در جزا هر زشت را در خور دهد,3
1727,از خدا جوییم توفیق ادب  بی ادب محروم گشت از لطف رب,آن ادب كه باشد از بهر خدا  اندر آن مستعجلى نبود روا,4
1728,تاویل,آن دمى را كه نگفتم با خليل‏  و آن غمى را كه نداند جبرئيل‏,2
1729,زیرک و داناست، اما نیست نیست  تا فرشته لا نشد، اهرامنی است,گر چه آن وصلت بقا اندر بقاست‏  ليك ز اول آن بقا اندر فناست‏,4
1730,تزکیۀ نفس، کشتن نفس,گر تو خود را پيش و پس دارى گمان‏  بسته‏ى جسمى و محرومى ز جان‏,2.5
1731,عنایات حق,امر حق را باز جو از واصلى‏  امر حق را در نيابد هر دلى‏,3
1732,گفت: با آن کس که ما را آفرید  این زمین و چرخ از او آمد پدید,امتحان كن فقر را روزى دو تو  تا به فقر اندر غنا بينى دو تو,2
1733,راز هستی,"هان و هان اين راز را با كس مگو		گر چه از تو شه كند بس جستجو
",0.5
1734,تزکیۀ نفس,در عيادت رفتن تو فايده است‏  فايده آن باز با تو عايده است‏,3
1735,جسم و جان  صورت و معنی,تو نه‏اى اين جسم تو آن ديده‏اى‏  وارهى از جسم گر جان ديده‏اى‏,3.5
1736,رزق و روزی,"هر گيا را كش بود ميل علا		در مزيد است و حيات و در نما
",0
1737,عنایات حق,پس حقيقت بر همه حاكم كسى است‏  كه قريب است او اگر محسوس نيست‏,3
1738,هوشیاری,هوش تو بى‏مى چنين پژمرده است‏  هوشها بايد بر آن هوش تو بست‏,3
1739,صنع بیند مرد محجوب از صفات  در صفات آنست کو گم کرد ذات,"شرح اين در آينه‏ى اعمال جو		كه نيابى فهم آن از گفت‏وگو
",1.5
1740,عنایات حق,با كمال تيرگى حق واقعات‏  مى‏نمودت تا روى راه نجات‏,4
1741,هوشیاری,در زمان بى‏هشى خود هيچ من‏  در زمان هوش اندر پيچ من‏,4
1742,سجود (سجده),تا نيارى سجده نرهى اى زبون‏  گر بپيمايى تو مسجد را به كون‏,4.5
1743,تجلی خداوند,عقل پنهان‌ست و ظاهر عالمی  صورت ما موج یا از وی نمی,4
1744,جسم و جان  صورت و معنی,جسم از جان روز افزون مى‏شود  چون رود جان جسم بين چون مى‏شود,3.5
